Fz,C3,Cz,C4,Pz,PO7,Oz,PO8
195294.53125,188880.828125,224738.125,222273.0,173755.5,172855.53125,166803.296875,183976.59375
194277.4375,187889.75,223550.625,221104.453125,172828.96875,171956.8125,165921.203125,183003.21875
193329.28125,186968.0625,222436.4375,219992.578125,171969.234375,171110.21875,165065.234375,182082.328125
192435.46875,186105.546875,221388.9375,218952.6875,171193.265625,170308.40625,164301.875,181239.578125
191566.265625,185270.578125,220373.640625,217951.328125,170448.328125,169551.765625,163565.96875,180425.96875
190748.09375,184480.75,219413.765625,217010.234375,169727.359375,168827.296875,162883.96875,179665.390625
189968.296875,183732.328125,218498.765625,216104.8125,169021.578125,168149.140625,162241.84375,178938.328125
189223.890625,183004.46875,217622.671875,215238.71875,168356.921875,167505.859375,161624.484375,178242.921875
188522.3125,182328.640625,216797.453125,214413.234375,167755.03125,166891.546875,161040.65625,177589.09375
187855.78125,181686.4375,216013.171875,213639.421875,167189.890625,166308.25,160483.203125,176965.5625
187201.765625,181056.5625,215246.328125,212881.15625,166614.46875,165736.21875,159929.515625,176350.890625
186592.1875,180477.921875,214528.921875,212173.59375,166061.046875,165216.40625,159414.890625,175777.34375
186016.5,179920.109375,213849.703125,211502.765625,165548.203125,164715.46875,158941.921875,175244.03125
185471.75,179396.09375,213207.046875,210864.484375,165083.203125,164231.953125,158483.890625,174731.8125
184952.921875,178890.046875,212591.828125,210255.71875,164647.34375,163778.921875,158050.796875,174249.734375
184449.546875,178407.4375,211999.6875,209676.453125,164212.734375,163351.46875,157641.859375,173788.3125
183971.3125,177936.796875,211432.21875,209120.875,163775.078125,162941.28125,157252.84375,173346.734375
183527.859375,177515.59375,210905.703125,208599.09375,163377.484375,162561.109375,156891.8125,172938.5
183094.859375,177097.171875,210390.71875,208086.703125,163009.84375,162182.921875,156524.890625,172528.03125
182679.390625,176697.4375,209898.8125,207604.71875,162668.765625,161820.640625,156178.796875,172147.875
182281.171875,176319.859375,209429.78125,207140.15625,162329.1875,161484.125,155870.609375,171793.453125
181908.875,175964.5625,208984.4375,206699.109375,161978.71875,161152.0625,155535.875,171422.15625
181557.328125,175618.203125,208562.265625,206282.109375,161656.046875,160839.40625,155224.375,171072.296875
181220.890625,175299.90625,208166.640625,205890.25,161383.0,160552.234375,154950.703125,170772.078125
180902.0625,174994.234375,207785.671875,205517.6875,161124.703125,160263.71875,154671.671875,170481.328125
180610.953125,174714.203125,207429.921875,205168.453125,160876.515625,160021.59375,154444.65625,170220.703125
180321.28125,174440.796875,207078.640625,204825.765625,160606.59375,159779.9375,154215.875,169950.875
180046.34375,174185.90625,206751.234375,204501.75,160364.203125,159553.28125,154007.90625,169705.453125
179780.71875,173920.71875,206430.703125,204191.0625,160149.90625,159332.890625,153786.625,169466.546875
179519.75,173671.359375,206117.515625,203883.5,159940.859375,159107.234375,153559.796875,169212.640625
179274.859375,173437.921875,205820.140625,203589.359375,159727.71875,158894.796875,153358.8125,168976.875
179048.65625,173217.625,205539.953125,203314.96875,159508.765625,158689.25,153168.28125,168761.9375
178848.03125,173028.34375,205293.71875,203069.8125,159328.609375,158525.203125,153009.40625,168577.578125
178665.640625,172857.484375,205071.28125,202847.28125,159190.390625,158379.90625,152873.328125,168416.734375
178482.796875,172687.703125,204847.484375,202629.03125,159055.015625,158222.109375,152726.890625,168247.046875
178301.484375,172520.0625,204624.953125,202406.328125,158900.25,158075.390625,152579.359375,168079.140625
178126.15625,172336.078125,204404.484375,202189.0625,158727.34375,157916.25,152444.453125,167915.796875
177967.8125,172184.25,204205.1875,201997.546875,158581.171875,157783.296875,152320.078125,167771.21875
177811.53125,172035.65625,204011.71875,201801.75,158462.515625,157657.765625,152206.71875,167641.21875
177650.515625,171882.328125,203813.9375,201608.984375,158342.8125,157517.84375,152070.015625,167489.59375
177507.640625,171745.265625,203634.328125,201434.46875,158219.328125,157390.984375,151951.640625,167356.375
177384.890625,171634.21875,203477.140625,201279.703125,158103.109375,157304.796875,151881.453125,167255.515625
177268.828125,171521.484375,203325.25,201125.296875,157987.0625,157209.125,151764.5,167118.71875
177169.59375,171428.953125,203195.515625,200996.28125,157916.421875,157121.234375,151682.4375,167030.75
177064.8125,171320.40625,203062.296875,200866.546875,157849.28125,157026.015625,151605.546875,166942.765625
176947.859375,171205.78125,202916.390625,200720.828125,157747.09375,156927.5,151499.328125,166819.921875
176842.625,171106.90625,202782.453125,200592.25,157638.28125,156837.375,151401.609375,166720.5
176756.53125,171025.984375,202670.15625,200484.078125,157556.203125,156768.703125,151333.828125,166643.34375
176672.484375,170950.625,202563.953125,200379.734375,157509.0,156708.796875,151297.890625,166588.0
176599.4375,170882.21875,202467.390625,200286.578125,157473.953125,156647.5625,151246.84375,166522.921875
176515.21875,170805.25,202359.109375,200179.546875,157404.5625,156577.90625,151170.484375,166435.75
176440.921875,170738.8125,202263.09375,200088.4375,157333.484375,156526.859375,151127.125,166379.328125
176382.453125,170678.734375,202181.90625,200015.84375,157281.453125,156486.984375,151095.203125,166334.984375
176324.515625,170628.75,202103.953125,199931.796875,157247.921875,156443.984375,151056.3125,166287.234375
176263.0,170576.984375,202022.59375,199850.71875,157215.390625,156390.25,151008.21875,166231.546875
176201.578125,170524.234375,201940.953125,199769.34375,157167.8125,156341.34375,150965.125,166177.71875
176142.578125,170452.0,201857.90625,199694.875,157099.59375,156295.109375,150925.953125,166127.203125
176102.515625,170419.453125,201795.578125,199634.53125,157051.765625,156262.75,150897.4375,166089.109375
176061.125,170376.09375,201735.765625,199576.671875,157032.09375,156234.40625,150871.78125,166057.640625
176009.984375,170318.875,201668.359375,199512.9375,157011.890625,156199.1875,150836.015625,166016.34375
175967.875,170281.3125,201606.75,199449.359375,156974.4375,156159.578125,150791.40625,165965.828125
175926.5625,170246.890625,201548.546875,199391.078125,156928.75,156132.84375,150774.859375,165933.453125
175890.4375,170222.046875,201498.578125,199341.453125,156899.0625,156119.4375,150775.84375,165917.28125
175866.578125,170205.5,201461.109375,199302.375,156897.453125,156117.015625,150773.96875,165896.359375
175838.234375,170179.84375,201418.1875,199259.1875,156895.578125,156090.015625,150752.6875,165878.921875
175802.109375,170146.21875,201363.828125,199203.140625,156858.734375,156053.625,150685.453125,165824.375
175791.65625,170130.40625,201334.953125,199173.984375,156825.75,156038.078125,150645.3125,165787.90625
175790.75,170126.828125,201321.28125,199165.3125,156824.671875,156045.5,150683.84375,165802.484375
175802.109375,170143.71875,201321.640625,199166.03125,156857.9375,156071.328125,150717.90625,165825.640625
175773.59375,170115.828125,201281.765625,199124.1875,156851.671875,156037.71875,150675.984375,165797.296875
175738.625,170087.03125,201237.765625,199082.4375,156829.765625,156011.703125,150655.953125,165776.546875
175729.15625,170085.96875,201219.4375,199066.171875,156816.625,156020.375,150669.890625,165775.203125
175728.171875,170091.421875,201207.546875,199059.546875,156815.203125,156033.421875,150688.40625,165780.390625
175718.0625,170087.03125,201186.984375,199043.546875,156827.09375,156035.65625,150698.234375,165782.265625
175707.515625,170083.640625,201165.359375,199016.359375,156841.125,156030.296875,150683.671875,165770.203125
175684.984375,170061.921875,201132.1875,198990.53125,156829.953125,156013.578125,150671.6875,165756.609375
175675.421875,170056.453125,201111.4375,198971.9375,156807.78125,156008.65625,150669.1875,165752.40625
175691.875,170081.046875,201118.5,198979.34375,156818.140625,156040.03125,150693.046875,165768.234375
175698.671875,170074.703125,201116.359375,198980.421875,156842.640625,156061.859375,150714.328125,165782.09375
175692.59375,170074.25,201101.25,198963.078125,156859.1875,156054.4375,150713.171875,165775.828125
175695.265625,170071.296875,201090.25,198957.265625,156864.375,156048.078125,150719.078125,165784.328125
175701.171875,170069.421875,201081.3125,198950.46875,156853.734375,156048.984375,150733.015625,165793.53125
175706.453125,170077.109375,201075.765625,198944.03125,156850.328125,156065.25,150752.234375,165800.15625
175714.140625,170087.03125,201072.640625,198937.328125,156869.28125,156081.078125,150761.0,165800.6875
175709.03125,170079.4375,201058.15625,198926.875,156889.9375,156082.953125,150760.203125,165808.015625
175709.84375,170078.09375,201046.796875,198915.15625,156891.109375,156077.671875,150758.234375,165803.015625
175720.21875,170088.015625,201045.546875,198910.859375,156883.859375,156092.609375,150777.640625,165803.375
175727.09375,170096.875,201042.234375,198907.828125,156878.671875,156099.3125,150775.578125,165808.015625
175736.390625,170108.9375,201044.03125,198906.9375,156897.265625,156110.21875,150772.890625,165811.5
175736.671875,170110.546875,201039.015625,198900.859375,156921.40625,156113.359375,150786.03125,165822.5
175751.15625,170129.0625,201047.515625,198909.53125,156944.65625,156135.171875,150815.8125,165845.84375
175778.78125,170158.65625,201066.46875,198930.171875,156955.03125,156167.53125,150842.8125,165865.328125
175798.359375,170182.796875,201081.3125,198940.546875,156968.078125,156198.296875,150881.34375,165897.421875
175808.015625,170201.03125,201087.390625,198943.765625,156998.03125,156218.859375,150919.171875,165925.859375
175816.328125,170205.40625,201088.734375,198948.78125,157025.296875,156223.5,150906.109375,165918.4375
175815.796875,170207.203125,201082.203125,198944.03125,157027.625,156222.875,150884.828125,165910.5625
175832.515625,170231.4375,201096.6875,198960.578125,157034.421875,156244.6875,150921.9375,165941.0625
175856.734375,170256.640625,201117.078125,198984.53125,157053.46875,156279.734375,150960.03125,165973.0625
175871.84375,170269.15625,201125.828125,198988.734375,157080.375,156297.984375,150980.046875,165989.421875
175880.875,170284.359375,201131.203125,198996.609375,157115.34375,156314.515625,150996.140625,166008.109375
175888.65625,170292.5,201135.484375,199003.21875,157132.5,156324.796875,151006.0625,166020.8125
175900.734375,170304.46875,201141.65625,199013.140625,157132.328125,156335.171875,151031.453125,166044.859375
175911.90625,170317.265625,201145.953125,199018.6875,157132.234375,156354.125,151042.015625,166052.28125
175927.375,170337.828125,201157.3125,199029.421875,157158.96875,156378.359375,151057.203125,166064.96875
175951.0625,170360.0,201175.546875,199047.21875,157202.328125,156394.984375,151090.921875,166096.453125
175965.71875,170377.4375,201184.578125,199055.796875,157224.40625,156420.640625,151110.3125,166109.953125
175978.953125,170393.53125,201193.515625,199068.125,157226.296875,156435.21875,151129.984375,166131.5
176000.328125,170415.4375,201209.34375,199086.453125,157239.875,156462.3125,151162.0,166164.21875
176013.828125,170424.8125,201215.6875,199092.1875,157261.421875,156478.140625,151174.25,166168.0625
176025.890625,170437.25,201222.65625,199099.78125,157291.296875,156483.9375,151188.90625,166180.671875
176034.5625,170450.75,201224.453125,199107.65625,157300.046875,156494.140625,151186.671875,166177.8125
176056.828125,170475.953125,201238.21875,199116.234375,157302.90625,156515.765625,151200.625,166194.078125
176080.171875,170481.59375,201251.984375,199126.0625,157312.203125,156542.0625,151233.15625,166221.53125
